tweet_id,text
1479578790720413701,"Dobar deo onih koji su podrzali #nisamprijavila sada likuju nad jednom koja ""jeste prijavila"" i to vam je najveci razlog zasto se ne prijavljuje, zato se nasilnici izvlace, zasto je sramota na pogresnoj strani, zasto pravda nije slepa, zasto smo svi zajedno u totalnom kurcu"
1479578006549061645,"@[user] U pravu si totalno... Do juče #NisamPrijavila tvitovi podrške a danas takav linč na jednu zlostavljanu ženu. Kao društvo smo otišli u onu stvar, sve licemer do licemera. Čast izuzecima naravno."
1479568418135285763,"Do prije par dana su odjednom svi suosjećali s #nisamprijavila, a danas se događa potpuno suprotno. Zbog takvih stvari sve više mi se gadi ljudski rod. I dokle god postoje takvi ljudi na ovom govnjivom Balkanu i dalje će žena biti kriva što je silovana"
1479541501583577091,"Do juče su se zgražavale na priče iz #NisamPrijavila , a danas pišu da je Duško trebao još ranije da počne da bije Karleušu…ŽENA JE ŽENI NAJVEĆI NEPRIJATELJ!!!"
1479540201236189189,@[user] Citam i ne verujem sta citam. A uglavnom to pisu isti oni koji su nedavno pisali sasvim suprotno uz #nisamprijavila Glavni argument im je i ona je maltretirala i pljuvala mnoge. Pa uglavnom nesrecni ljudi tako i lece svoje frustracije. Da ne verujes sta ljudi pisu.
1479538126313996289,"Do pre neki dan toliko podrške svim ženama koje su preživele nasilje uz #NisamPrijavila i danas se desilo da Karleuša prijavi nasilje i vi opet idete po starom, nekome je čak i smešno. Nema ničeg smešnog. Žena je žena, nebitno da li je poznata ili ne. Za nasilje nema opravdanja!"
1479537942414639117,"Podrška Jeleni Karleuši. Ostani lavica do kraja. Mi smo uz tebe.
#stopnasilju
#NisamPrijavila"
1479535193455304705,"Ceo dan van drustvenih mreza, upalim tv, a na dnevniku N1 Dusko osamario Karleusu. Udjem na tviter a tamo likuji sto je osamario… toliko od #NisamPrijavila i sl."
1479522423879909380,"Do pre neki dan smo u okviru #NisamPrijavila čitali tvitove ""pa trebalo je da prijavite, svi bi vas podržalii"" i ""ne razumem zašto niste prijavile"" i prvom prilikom kad je neka prijavila vi je pljujete, ne verujete joj ili govorite da je zaslužila. Pa mrš!"
1479517308842356742,@[user] Niko ne sme da se igra sa #NisamPrijavila. To mora tako.
1479507438768472070,"Toliko priče o #NisamPrijavila, danas jedna žena prijavi i evo sprdnje s njom... 🤦‍♂️"
1479499774718001157,Ogavni komentari na Karleusin racun nakon sto je muza prijavila za zlostavljanje su dovoljan razlog za #NisamPrijavila
1479497857497452552,"@[user] Pa šta sad #NisamPrijavila ?!? 
Ne diži ruku, 'muškarčino' 😋"
1479489674473361411,"I još nešto. Džaba stavljate #NisamPrijavila kada pišete ""Trebao je, neka je"". Ja ne razumijem do koje mjere moraš biti nečovjek da podržavaš nasilje."
1479486970854363136,U šta da se kladimo da je Karleuša videla koliko je srpski #meToo #NisamPrijavila postao popularan pa prijavila onog nesrećnog Duška?
1479486084027453443,"Al ovi sto su se sprdali i ismijavali na #NisamPrijavila, rade to isto i sa Jelenom Karleušom danas. Jebo vam pas mater koja vas je tako bolesne okotila."
1479484097483444228,"Gde je sada talas podrške Jeleni Karleuši?
Ili mislite, da je ona tu vaspitnu... zaslužila?
 #NisamPrijavila"
1479483996178464781,@[user] Olos licemjerna slade što je Karleusa dobila samare od Duška a do prije nekoliko dana su postavljali #nisamprijavila i davali podršku kako ih nije stid i sram svoje licemjernosti i dvolicnost !!
1479475338883256325,"@[user] Mislim da ovo nije trebalo da se desi . Nema veze sa imenom i prezimenom žene koja trpi nasilje već sa ishodom,juče nažalost žena je izgubila život,danas žena prebijena.Mislim da #NisamPrijavila treba da oživi i dobije epilog u ovoj državi."
1479473888820187136,"Pre par dana svi #nisamprijavila a danas vec sprdanje sa Karleusom, vi zaista ali zaista niste normalni"
1479451379357868032,"“Jučer”oni koji su objavljivali #stopnasiljunadženama, #stopinternetbulingu, #nisamprijavila - danas se slade i smiju se tome sto je Duško  navodno udario Jelenu Karleusu,ženu,majku dvoje djece pa tek onda estradnu zvijezdu-je li vas sramota vaše dvoličnosti i zlobe nesretnici!!"
1479450491213996038,"@[user] licemerno je što su do pre dve nedelje podržavali #nisamprijavila, a sad odjednom krive ženu samo zato što je poznata ličnost koju ne vole"
1479427616801271812,@[user] Jeca cula da je moderan hashtag #nisamprijavila pa da da svoj doprinos
1479243368135892993,"High ranked police officer goes to national tv and justifies rape and murder of a 15 year old girl. 
Cause, see, she was wearing shorts and was outside at 11pm.
Sadly, a big group agrees with him.
Ask me again why I want to run away and never come back.
#nisamprijavila"
1479212936291926020,"@[user] Ako ti je za utehu prošla sam slično ali obrnuto. u smislu osoba za koju sam imala mini opsesiju je jako slična osobi kojoj je posvećen moj #nisamprijavila tvit. U svakom slučaju, realizacija je ključna posle toga ide malo teško emotivno ali prođe ❤️ bravo što si prekinula odnos"
1479212328457584641,Zamislite da smo se ovako pobunili za #NisamPrijavila
1479138320408010755,"@[user] To si u pravu
Umesto da se u medijima vrti ona tvoja kampanja samopromocije #NisamPrijavila 24/7, sad se vrti Novax...
Što bi rekao narod:
Svakog čuda (sranja) tri dana dosta😁😁"
1479114014793764868,"@[user] Dačo svaka ti je kao u Njegoša. Mislio sam baš da idem na proteste ali me nekako više boli #nisamprijavila, Igor Jurić i šta rade njegovom pokojnom detetu, Rio Tinto, i tako u nedogled..."
1479017788505268228,"@[user] Hajde da na ovakve stvari budemo još normalniji i da se još dva puta više borimo. Ovo, #NisamPrijavila i ono što se desilo Vašem i drugoj deci je naša borba a ne da li će Đoković da igra ili neće na AO, zabole me."
1479014323758538753,"@[user] Nisam mislio samo na medije, vec medijima smatram i drustvene mreze. Evo kako se rasirio uticaj #NisamPrijavila i eto 25.000 zena koje su reagovale. Onda je vec juce taj mladic uhapsen i priveden na razgovor. Arapsko prolece je krenulo sa Fejsbuka."
1478898788513296393,"Za sve namestene konkurse 
Za svu oteranu mladost 
Za sve one sto preko reda placaju u posti 
Za sve #NisamPrijavila 
Za sve zaposlene preko veze
Za sve one “znas ti ko sam ja”
Za najsmesniji 🦠 u istoriji...

Veceras DjokerNole vraca tudji dug."
1478765718359674880,#NisamPrijavila da vise niko ne ferma ni 2%... trodnevna prica i briga. Klasika.
1478764581820542978,"Грешка, има и #NisamPrijavila!!!

Опозиционар до јаја :)."
1478742720554414089,@[user] Bas mi je drago! Samo me zanima da li postoji i jedna zena koja nije pretrpela neki oblik seksualnog napada? Ja licno ne znam ni jednu! I sve u vezi #NisamPrijavila podrzavam svim srcem
1478716848778715147,@[user] Ajde mensplejnuj mi kako se mi osecamo i zbog cega :) Kao sto rekoh novac je samo jedan deo slagalice. Citaj #Nisamprijavila pa vidi i ostale.
1478674747177246720,"Uhapsili Numera i odredili mu zadržavanje.

Jel moramo za svakog nasilnika da visimo 7 dana po medijima kako bi policija počela da radi svoj posao kako treba?

#NisamPrijavila"
1478439787711324163,"Super je bilo ono #nisamprijavila , ali dok žene ne budu finansijski samostalne ništa se neće promeniti.
Dakle, glavne je tema radnička prava.
A o tome niko ne priča."
1478428264947400704,@[user] @[user] @[user] Ti si jedan od onih zbog kojih se pojavila priča #NisamPrijavila Nasilnik u duši. Sad bi ti laknulo kada bi me udario jer je to tvoj nivo komunikacije. Pozdrav
1478416948551639047,"Pa tako on navodi da žene zagovaraju veći priliv migranata u Hrvatsku i EU zbog toga što maštaju o silovanju! 

U trenutku kada žene zauzimaju javni prostor sa izjavama #NisamPrijavila, bilo je očekivano da će se pripadnici krajnje desnice pronaći ""ugroženim"". 2/"
1478394416226312215,"@[user] A ni to začetek zgodbe, ki bo končala pod #nisamprijavila?"
1478349423075856384,ako se posalje dikpik jel za to isto moze da se stavi #nisamPrijavila?
1478339592227016714,#NisamPrijavila ali nije jos kasno
1478337936617873414,"Podrška svim ženama i akciji #NisamPrijavila. Razumevanje, hrabrost, istrajnost … vi to možete! 💪🤗"
1478336124280000520,"Mrzim nasilje,dozivjela sam ga odmalena.Imala sam 3 duge veze,i u te 3 veze sva trojica su me maltretirali,ja sam se branila,ali sta ja mogu protiv muskog,Ako se to moze nazvat musko.#NisamPrijavila trebala sam,NIKAD VISE OVO SEBI NEĆU DOPUSTITI,Makar ja bila sama cijeli život!!"
1478333979518509062,"#NisamPrijavila da nisam,trebala sam,dozivjela sam opet nasilje od sada (3ci bivsi koji me udaro) bivšeg dečka koji me udario jer je p**** pa voli udarati zene,jedino zene i može udarati.kao i svoje bivse sto je zlostavljao.Nisam prijavila ali ovo je ZADNJI PUT da se ovo desilo!!"
1478323119031037955,"Dan drugi, a ženu i dalje ismevaju što je rekla da je neko prati, jer zaboga, što bi nju neko pratio?
A posle kuknjava, sistem ne radi, ajmo #nisamprijavila , kako nije tražila pomoć, što je ćutala?
Mnogo jedete govna, pojedini."
1478287075371884544,"@[user] Zato što nemate dokaze za priču koju ste plasirali kao i vaše prethodnice i zato sto ste sekta, već ste i #NisamPrijavila učvrstili pa se obratite @[user] koja vam to gura da se ona osvrne."
1478284653471612928,"@[user] citam komentare,koji sam ja sama sebi mazohista!poznajem strah koji osecas!pratio me dripac sa rukom u gacama dok sam vodila sina u vrtic.panika:da li je ruka u gacama zbog mene ili mog deteta.poznajem i nemoc i bes!osecaj zlostavljanja!vici!popsuj ga!snimaj ga! #NisamPrijavila"
1478270227905454081,"#caosvima #NisamPrijavila 
Znaju oni kojima se obraćam ko su. 
Pa ja ne mogu da verujem da i na ova dva taga formirate botove. Da ste takve male, sline bezkarakterne i ljigave koje se kriju iza anonimnih profila da bi vređale, ismevale, prozivale ili rekle šta misle."
1478260816843522052,"69 hehe - moj izabrani prosvetni radnik, heroina #NisamPrijavila i oooogroman rispekt za pricu,  savrsen smisao za humor i vrlo moguce vracarska komsinica 😂"
1478141332745068547,"#nisamprijavila
Jer mi je pretio da će mi oduzeti dete. Kad sam napokon otišla od njega žalila sam se CZSR, rekli su mi da pokušam da izgladim odnose sa njim. Terali me da sama se vidim sa njim i da mu omogućim viđanje deteta."
1478137018848845824,"#caosvima #nisamprijavila

On (zlostavljač) je bio iz fine, uglađene porodice, oba roditelja proferosi na fakultetu, a on najbolji student istog fakulteta, sa divnim manirima, otmen mladić bla bla bla bla. 

Ne znam koliko je ovakvih priča. 

ISTINA JE:

On je bio mladić iz za"
1478124060903198733,"@[user] ali i ti se mešaš u stvari koje očigledno ne razumeš. ne podržavaš #nisamprijavila i pošto te očigledno boli kurac, samo pokazuješ time da si i ti deo problema i ovo nije prvi put da komentarišeš nešto ovako. ako ne razumeš o čemu pričaš, nemoj se ni mešati."
1478117199764144129,osobe na tw budu kao maltretirao me je psihicki dok smo bili u vezi ali #NisamPrijavila jer sam ga volela i onda iznapadaju devojku koja voli coveka koji je stariji 20 godina...
1478116057114152965,@[user] A kada si napunila 18. godina? Gde ste sada #NisamPrijavila
1478104909614665728,"Moram da primetim da se evo 10 dana skoro ni jedan od ovih samozvanih čuvara tradicije Srbije i porodičnih vrednosti nije osvrnuo na problem hiljada žena žrtava nasilja u istoj toj porodici.

#NisamPrijavila"
1478098408061685761,1010101 - velika energija. Rispekt za #nisamprijavila i sve što si u vezi sa tim naknadno pokrenula. Top humor
1478081071698825217,"Utihnuo je #NisamPrijavila hajp. Na testu je glomograsno #NisiSama obećanje dato ženama koje su podelile svoje zastrašujuće ispovesti i onima koje još uvek ćute. Ako izostane konkretna akcija u realnom životu, tviter kampanje će se potvrditi kao jednokratno pražnjenje energije."
1478029121120874496,"Zadnjih par godina imamo ozbiljan skok zlostavljanja i ubistava žena kakav u godinama pre toga nismo imali. Sigurno najveći skok u poslednjih 30 godina. 

Šta vi mislite zašto je to tako? Šta utiče na taj porast?
Da li smo kao društvo otišli u đavola? 

#nisamprijavila #caosvima"
1478019486900969475,Čak i #NisamPrijavila kampanja ima u sebi više digniteta nego blokda puteva protiv Rio Tinta.
1477984104431951873,#nisamprijavila izmislila sam 🤓
1477922929820286977,"Na temu #NisamPrijavila 

2002. upoznajem studenta pravnog fakluteta, posto ga je medicinski isutirao. Prvi napad se desio u kuhinji u studenjaku, kada je jedna kap pala na pod. Iz toga je proizasao citav splet agresivnih i pretecih reci, urlanje..⤵️"
1477776149988225025,"Veceras smo culi dosta korisnih saveta, drugaciji je spejs bio od prethodnog. Nastavicemo da se bavimo ovom temom i dalje. Hvala svima koji su ucestvovali, podelili svoju pricu, savet ili samo slusali.
#NisamPrijavila
#nisisama"
1477745195034812426,#NisamPrijavila jer mi je 3 godine ispirao mozak.
1477704365083402241,"@[user] @[user] Њен случај: ""#NisamPrijavila да ме нико неће""."
1477688912650846210,"Veceras ponovo oko 21h spejs na temu nasilja nad zenama. Svi koji su spremni da ispricaju svoju pricu, ili cuju sta se desava u njihovom okruzenju, su dobrodosli. Takodje pozivam i strucna lica koja mogu da nam daju savete i odgovore.

#NisamPrijavila
#nisisama"
1477684790979661824,"#NO is a full sentence. 
#NisamPrijavila
#NiUnaMenos 
#JinJyanAzadi"
1477683086590713859,"@[user] Te traume, odeš pa ponovo pišeš na #NisamPrijavila ."
1477678785675894791,"pričam liku sve o #NisamPrijavila i on kaže ""nikad nisam razmišljao o tome, ja sam mislio sve te budale su iza rešetaka gde im je i mesto"" GDE JE TAJ SVET U KOJEM ON ŽIVI"
1477639562813919233,"To je to što se tiče prikupljanja objava #NisamPrijavila, pauzirala sam TAGS.

Ako su nekome i dalje potrebni podaci, pišite mi! ✌️"
1477590281386172417,"#NisamPrijavila ...za uzvrat sam dobila retraumatizacije, zlostavljanje i iživljavanje od osoblja i kao šlag na torti ,nakon mučnih 10 dana,dvije krive dijagnoze koje su me dokrajčile."
1477589351911800838,"#NisamPrijavila muriji,ali jesam stručnjacima s KBC Rijeka (grupno silovanje i narcisoidno zlostavljanje poremećenog člana ""obitelji"") nakon što me se strpalo na psihijatriju radi suicidalnosti , i to od strane zlostavljača ..."
1477562550321614851,FilipCar #NisamPrijavila
