tweet_id,text,trust_expressed,anger_expressed,sadness_expressed,surprise_expressed,fear_expressed,disgust_expressed,joy_expressed,anticipation_expressed,trust_evoked,anger_evoked,sadness_evoked,surprise_evoked,fear_evoked,disgust_evoked,joy_evoked,anticipation_evoked
'1475172054810955777,za #nisamprijavila ostajem opet bez reci,0.046,0.137,0.044,0.016,0.095,0.040,0.111,0.063,0.059,0.003,0.017,0.073,0.050,0.018,0.052,0.009
'1475172035571691526,"#NisamPrijavila jer sam na kraju samo htela da pobegnem i zaboravim 

Jer sam ponašanje i postupke pravdala  kompleksima pa sam čak osećala i sažaljenje i pokušavala da pomognem

Jer sam se plašila šta bi moj tata uradio da sazna 

Jer sam tada postala osoba koju ne poznajem",0.019,0.083,0.060,0.017,0.137,0.058,0.112,0.005,0.026,0.049,0.026,0.082,0.029,0.001,0.027,0.041
'1475171948904828933,"znate, kad kažete da nije dovoljan hešteg #NisamPrijavila, kad kažete da je ovo samo tviter te da se ne važi, kad kažete da o tome treba javno da govorimo, 
to je samo uvijeno i upakovano ""zašto nije prijavila"".

nemojte to raditi.",0.069,0.137,0.038,0.031,0.082,0.010,0.104,0.048,0.007,0.039,0.010,0.091,0.034,0.021,0.040,0.026
'1475171695619186690,"Citajte danas #nisamprijavila❗ Mozda nesto naucimo, mozda nekome pomognemo, a mozda nekog i spasimo. Koliko rana imaju ljudi oko nas... Duznost nam je pomoci im da ih zalijece, a ne da im solimo rane! Toliko mozemo i moramo!",0.016,0.082,0.028,0.004,0.082,0.093,0.109,0.035,0.006,0.038,0.011,0.011,0.052,0.084,0.059,0.000
'1475171646176645124,@[user] #Nisamprijavila jer je on Luka Scekic,0.046,0.082,0.017,0.052,0.012,0.021,0.121,0.090,0.055,0.063,0.050,0.056,0.020,0.006,0.040,0.015
'1475171581748035591,#nisamprijavila jer je praktično bio član porodice a ja imala 5-6-7-8 godina.,0.068,0.110,0.015,0.051,0.045,0.027,0.014,0.085,0.035,0.002,0.019,0.010,0.074,0.007,0.021,0.053
'1475171474403172352,"#nisamprijavila јер и даље не знам где је то илегално да слажеш жену да сте у стану твоје сестре а да заправо немаш сестру него вишегодишњу девојку, не знам где је илегално да другарима препричаваш шта се дешавало међу вама па да они шаљу поруке са захтевима да и њима то тако",0.025,0.100,0.011,0.056,0.105,0.028,0.014,0.056,0.024,0.028,0.017,0.014,0.043,0.007,0.032,0.066
'1475171381390323717,"A vi žene koje ste pisale u #NisamPrijavila VI STE NAŠA SVETLOST I NAŠA NADA. DA, BIĆE NAM BOLJE, ZBOG VAS.",0.041,0.108,0.004,0.015,0.144,0.034,0.019,0.084,0.061,0.047,0.033,0.016,0.008,0.031,0.033,0.057
'1475171276251611141,"čitam #nisamprijavila i na pola čitanja me lupi šamar.
na svaku žrtvu ide jedan koji je to napravio. i sad hoda među nama.",0.037,0.134,0.050,0.039,0.072,0.030,0.095,0.099,0.012,0.018,0.040,0.010,0.048,0.012,0.035,0.040
'1475171230588313612,#NisamPrijavila pedofila koji se trljao  o mene u prepunom busu. Prvi put sam imala 10 godina drugi put 15. Oba puta sam bila paralisana od straha I sramote da potrazim pomoc starijih putnika. Oba puta sam izasla iz busa I nastavila par km peske do skole.,0.023,0.076,0.035,0.083,0.102,0.031,0.141,0.120,0.056,0.024,0.051,0.115,0.021,0.016,0.013,0.008
